especie,area,perimetro,raiomedio,raiosd,raiomin,raiomax,eixomaior,ecentricidade
goiaba,0.517819261773441,3.70247933884298,0.505300275482094,0.208396694214876,0.0777300275482094,0.863283746556474,1.65624242424242,0.942
goiaba,1.22327110733984,5.0137741046832,0.727305785123967,0.242820936639118,0.275801652892562,1.1624132231405,2.15285950413223,0.909
goiaba,1.05589732711073,4.09917355371901,0.635349862258953,0.16531129476584,0.357917355371901,0.90598347107438,1.79790633608815,0.874
goiaba,2.07573186253712,5.50964187327824,0.884143250688705,0.187239669421488,0.608969696969697,1.23591184573003,2.33685950413223,0.831
goiaba,0.460224862112855,3.34986225895317,0.470192837465565,0.18534435261708,0.0977961432506887,0.790479338842975,1.4836914600551,0.933
goiaba,1.34758167161646,4.92561983471074,0.744099173553719,0.219184573002755,0.400606060606061,1.15553719008264,2.13691460055096,0.898
goiaba,1.47677131947391,4.27548209366391,0.74268870523416,0.115217630853994,0.54134435261708,0.940661157024793,1.81644077134986,0.749
goiaba,0.917798048366568,3.75757575757576,0.590809917355372,0.144859504132231,0.341355371900826,0.85299173553719,1.62996143250689,0.858
goiaba,0.654645736105218,3.01928374655647,0.509355371900826,0.127261707988981,0.316760330578512,0.719184573002755,1.40881542699725,0.875
goiaba,1.28192617734408,4.58402203856749,0.715779614325069,0.176606060606061,0.431603305785124,1.08437465564738,1.90318457300275,0.849
goiaba,1.35596096733135,4.30853994490358,0.718853994490358,0.171504132231405,0.452,0.993322314049587,1.98919008264463,0.864
goiaba,1.27354688162919,4.4297520661157,0.695173553719008,0.170633608815427,0.416528925619835,0.971195592286501,1.93146005509642,0.862
goiaba,0.666949512091642,3.72451790633609,0.551085399449036,0.178402203856749,0.248661157024793,0.887757575757576,1.55366391184573,0.903
goiaba,0.829232074671192,4.27548209366391,0.63334435261708,0.237134986225895,0.202699724517906,1.05523966942149,1.93110743801653,0.934
goiaba,1.21871022486211,4.2534435261708,0.682953168044077,0.145123966942149,0.475052341597796,0.979988980716253,1.7884738292011,0.829
goiaba,0.958952057700467,3.59228650137741,0.601873278236915,0.113939393939394,0.423272727272727,0.794942148760331,1.54523415977961,0.808
goiaba,1.01792532880781,3.83471074380165,0.61164738292011,0.107845730027548,0.41833608815427,0.796011019283747,1.55525068870523,0.785
jabuticaba,2.48774022531478,6.1437908496732,0.944915032679739,0.270771241830065,0.578091503267974,1.44177777777778,2.72112418300654,0.895
jabuticaba,1.5480450629556,5.51633986928105,0.791947712418301,0.291660130718954,0.393307189542484,1.3038431372549,2.53040522875817,0.946
jabuticaba,1.34261100066269,4.83660130718954,0.722300653594771,0.239111111111111,0.379111111111111,1.15492810457516,2.16462745098039,0.922
jabuticaba,1.7713717693837,4.99346405228758,0.769751633986928,0.175450980392157,0.425908496732026,1.14164705882353,2.0642091503268,0.823
jabuticaba,1.48906560636183,4.41830065359477,0.709934640522876,0.15916339869281,0.491006535947712,1.03416993464052,1.91022222222222,0.842
jabuticaba,0.865473823724321,3.66013071895425,0.527058823529412,0.0605751633986928,0.441019607843137,0.651790849673203,1.13811764705882,0.394
jabuticaba,1.20212060967528,3.92156862745098,0.634457516339869,0.135869281045752,0.430954248366013,0.906980392156863,1.676,0.821
jabuticaba,1.4546056991385,4.36601307189542,0.717385620915033,0.183137254901961,0.432235294117647,1.03675816993464,1.98167320261438,0.866
jabuticaba,0.870775347912525,3.47712418300654,0.538509803921569,0.137960784313725,0.312418300653595,0.791581699346405,1.52640522875817,0.866
